district_id,total_incidents,years_active,annual_average,violent_count,violent_rate,property_count,property_rate,qol_count,qol_rate,top_offenses,trend_slope,trend_p_value,trend_significant,seasonal_cv,geocoding_coverage,peak_hour,peak_day,total_incidents_rank,total_incidents_percentile,annual_average_rank,annual_average_percentile,violent_count_rank,violent_count_percentile,property_count_rank,property_count_percentile,qol_count_rank,qol_count_percentile,violent_rate_rank,violent_rate_percentile,property_rate_rank,property_rate_percentile,qol_rate_rank,qol_rate_percentile,seasonal_cv_rank,seasonal_cv_percentile,geocoding_coverage_rank,geocoding_coverage_percentile,low_geocoding_coverage,sparse_data,interpretation_caution
19,222201,20,11110.05,58829,0.26475578417738893,81832,0.3682791706607981,14831,0.06674587423098906,"{'All Other Offenses': np.int64(57652), 'Other Assaults': np.int64(35136), 'Thefts': np.int64(23156), 'Vandalism/Criminal Mischief': np.int64(19446), 'Narcotic / Drug Law Violations': np.int64(13991)}",-145.66090225563912,0.02647887263430895,True,0.10104641699808525,0.990207064774686,21,Wednesday,3,92.0,3,92.0,5,84.0,9,68.0,4,88.0,8,72.0,22,16.0,7,76.0,6,80.0,2,96.0,False,False,False
39,166301,20,8315.05,50256,0.3021990246601043,75698,0.45518667957498754,9378,0.05639172344123006,"{'Other Assaults': np.int64(27945), 'All Other Offenses': np.int64(23686), 'Thefts': np.int64(19366), 'Vandalism/Criminal Mischief': np.int64(16926), 'Theft from Vehicle': np.int64(12627)}",-14.170676691729323,0.5702464880377821,False,0.0866832062864828,0.9872760837276986,21,Wednesday,11,60.0,11,60.0,9,68.0,14,48.0,9,68.0,3,92.0,16,40.0,13,52.0,14,48.0,10,64.0,False,False,False
18,172755,20,8637.75,43021,0.24902897166507482,80734,0.46733234928077333,8658,0.05011721802552748,"{'All Other Offenses': np.int64(31820), 'Thefts': np.int64(29782), 'Other Assaults': np.int64(22349), 'Vandalism/Criminal Mischief': np.int64(14528), 'Theft from Vehicle': np.int64(11571)}",-195.01127819548873,1.93103564467736e-06,True,0.09264637050402066,0.9876935544557321,21,Wednesday,10,64.0,10,64.0,10,64.0,11,60.0,10,64.0,9,68.0,15,44.0,15,44.0,11,60.0,9,68.0,False,False,False
12,199192,20,9959.6,52982,0.2659845776938833,82215,0.4127424796176553,11734,0.05890798827262139,"{'All Other Offenses': np.int64(43241), 'Other Assaults': np.int64(28124), 'Vandalism/Criminal Mischief': np.int64(19709), 'Thefts': np.int64(19147), 'Theft from Vehicle': np.int64(13636)}",-258.90075187969927,3.048150801997338e-07,True,0.1011157452309304,0.9852102494076067,21,Wednesday,7,76.0,7,76.0,8,72.0,8,72.0,7,76.0,7,76.0,20,24.0,11,60.0,5,84.0,14,48.0,False,False,False
22,218036,20,10901.8,65966,0.3025463684896072,97125,0.44545396173109025,15804,0.07248344310113926,"{'Other Assaults': np.int64(36203), 'All Other Offenses': np.int64(30148), 'Thefts': np.int64(27753), 'Vandalism/Criminal Mischief': np.int64(22240), 'Theft from Vehicle': np.int64(15823)}",54.8421052631579,0.340209529360593,False,0.0835038589188652,0.9833972371534976,21,Wednesday,5,84.0,5,84.0,3,92.0,2,96.0,3,92.0,2,96.0,18,32.0,4,88.0,15,44.0,15,44.0,False,False,False
3,141471,20,7073.55,29045,0.2053070947402648,77526,0.5479992365926586,5069,0.03583066494193156,"{'Thefts': np.int64(27952), 'All Other Offenses': np.int64(22232), 'Other Assaults': np.int64(17462), 'Theft from Vehicle': np.int64(16659), 'Vandalism/Criminal Mischief': np.int64(13684)}",-6.26390977443608,0.9236604704789746,False,0.11426693969347498,0.9793173159163362,20,Sunday,14,48.0,14,48.0,13,52.0,13,52.0,17,36.0,19,28.000000000000004,8,72.0,19,28.000000000000004,3,92.0,20,24.0,False,False,False
2,178545,20,8927.25,41913,0.23474754263631017,95188,0.5331317034921168,5099,0.028558626676748158,"{'Thefts': np.int64(32676), 'All Other Offenses': np.int64(30099), 'Other Assaults': np.int64(25110), 'Vandalism/Criminal Mischief': np.int64(17904), 'Theft from Vehicle': np.int64(15407)}",-170.21578947368423,0.0020835543334412135,True,0.07694620317863425,0.9897672855582627,20,Wednesday,9,68.0,9,68.0,11,60.0,4,88.0,16,40.0,12,56.00000000000001,10,64.0,20,24.0,20,24.0,4,88.0,False,False,False
23,26306,6,4384.333333333333,5793,0.22021592032235993,8176,0.31080361894624803,2102,0.07990572492967384,"{'All Other Offenses': np.int64(8926), 'Other Assaults': np.int64(2996), 'Thefts': np.int64(2075), 'Vandalism/Criminal Mischief': np.int64(1898), 'Theft from Vehicle': np.int64(1783)}",-1606.342857142857,0.019242422603405612,True,0.08187863855674284,0.9557135254314605,4,Sunday,23,12.0,19,28.000000000000004,23,12.0,24,8.0,20,24.0,16,40.0,25,4.0,3,92.0,16,40.0,23,12.0,False,False,False
8,116607,20,5830.35,28154,0.24144348109461697,68422,0.5867743788966358,3325,0.02851458317253681,"{'Thefts': np.int64(24065), 'Other Assaults': np.int64(20349), 'Theft from Vehicle': np.int64(13114), 'All Other Offenses': np.int64(12556), 'Vandalism/Criminal Mischief': np.int64(11663)}",-118.48345864661655,0.007635877411511593,True,0.08045261511104172,0.9683209412813982,21,Wednesday,17,36.0,17,36.0,14,48.0,16,40.0,19,28.000000000000004,10,64.0,6,80.0,21,20.0,17,36.0,22,16.0,False,False,False
17,108550,20,5427.5,24022,0.22129894058037772,48959,0.45102717641639795,6985,0.06434822662367573,"{'All Other Offenses': np.int64(24178), 'Thefts': np.int64(15302), 'Other Assaults': np.int64(13120), 'Vandalism/Criminal Mischief': np.int64(10304), 'Theft from Vehicle': np.int64(8409)}",-250.82556390977444,5.41671964045552e-08,True,0.11893182900628921,0.9816397973284201,21,Wednesday,18,32.0,18,32.0,18,32.0,17,36.0,14,48.0,15,44.0,17,36.0,8,72.0,2,96.0,18,32.0,False,False,False
5,50688,20,2534.4,10397,0.20511758207070707,31937,0.6300702335858586,1020,0.02012310606060606,"{'Thefts': np.int64(8100), 'Other Assaults': np.int64(7788), 'Theft from Vehicle': np.int64(7699), 'Vandalism/Criminal Mischief': np.int64(6720), 'All Other Offenses': np.int64(5307)}",-57.443609022556394,0.0009235917380600423,True,0.06952822387836875,0.9886758207070707,20,Monday,21,20.0,23,12.0,21,20.0,21,20.0,22,16.0,20,24.0,4,88.0,23,12.0,22,16.0,6,80.0,False,False,False
7,71245,20,3562.25,13900,0.19510141062530703,46535,0.6531686434135728,698,0.009797178749385922,"{'Thefts': np.int64(12880), 'Other Assaults': np.int64(9804), 'Theft from Vehicle': np.int64(9522), 'Fraud': np.int64(7833), 'Vandalism/Criminal Mischief': np.int64(7596)}",-52.30601503759399,0.03041991701075463,True,0.06591612383376884,0.9831988209698926,20,Monday,20,24.0,22,16.0,20,24.0,18,32.0,23,12.0,21,20.0,3,92.0,24,8.0,24,8.0,16,40.0,False,False,False
6,144961,19,7629.526315789473,24598,0.1696870192672512,81250,0.5604955815702154,8616,0.05943667607149509,"{'Thefts': np.int64(40364), 'All Other Offenses': np.int64(20871), 'Theft from Vehicle': np.int64(14923), 'Other Assaults': np.int64(14588), 'Vandalism/Criminal Mischief': np.int64(9759)}",-231.38947368421046,0.00016293476785923252,True,0.06566943704717448,0.9824159601548003,20,Wednesday,13,52.0,13,52.0,17,36.0,10,64.0,11,60.0,22,16.0,7,76.0,10,64.0,25,4.0,17,36.0,False,False,False
92,1491,4,372.75,175,0.11737089201877934,1180,0.7914151576123407,8,0.0053655264922870555,"{'Theft from Vehicle': np.int64(835), 'Vandalism/Criminal Mischief': np.int64(130), 'Thefts': np.int64(104), 'DRIVING UNDER THE INFLUENCE': np.int64(75), 'Other Assaults': np.int64(63)}",-149.3,0.12569103639500798,False,0.2671327985200811,0.6539235412474849,19,Sunday,25,4.0,25,4.0,25,4.0,25,4.0,25,4.0,24,8.0,1,100.0,25,4.0,1,100.0,24,8.0,True,False,True
77,14278,20,713.9,1206,0.0844656114301723,11236,0.7869449502731475,348,0.024373161507213897,"{'Thefts': np.int64(6994), 'Fraud': np.int64(2548), 'Other Assaults': np.int64(849), 'Theft from Vehicle': np.int64(699), 'All Other Offenses': np.int64(512)}",12.058646616541353,0.05992227234020251,False,0.09333327299349775,0.524653312788906,19,Tuesday,24,8.0,24,8.0,24,8.0,23,12.0,24,8.0,25,4.0,2,96.0,22,16.0,10,64.0,25,4.0,True,False,True
